KL0,1
KL1,2
KL2,0
KL0,1
KL1,2
KL2,2
KL0,1
KL1,0
KL2,2
KL0,2
KL1,0
KL2,2
KL0,1
KL1,1
KL2,2
KL0,1
KL1,1
KL2,1
KL0,2
KL1,2
KL2,0
KL0,0
KL1,1
KL2,0
KL0,2
KL1,2
KL2,2
KL0,2
KL1,0
KL2,2
KL0,1
KL1,2
KL2,1
KL0,0
KL1,2
KL2,1
KL0,2
KL1,1
KL2,0
KL0,1
KL1,2
KL2,0
KL0,2
KL1,1
KL2,1
KL0,2
KL1,1
KL2,1
KL0,2
KL1,0
KL2,0
KL0,1
KL1,2
KL2,2
KL0,0
KL1,2
KL2,0
KL0,0
KL1,0
KL2,2
KL0,0
KL1,2
KL2,2
KL3,1
KL0,0
KL1,2
KL2,1
KL3,1
KL0,0
KL1,0
KL2,2
KL3,0
KL0,0
KL1,2
KL2,0
KL3,0
KL0,2
KL1,1
KL2,0
KL3,0
KL0,0
KL1,1
KL2,2
KL3,2
KL0,0
KL1,0
KL2,0
KL3,1
KL0,1
KL1,0
KL2,1
KL3,1
KL0,2
KL1,0
KL2,2
KL3,1
KL0,0
KL1,0
KL2,2
KL3,1
KL0,0
KL1,0
KL2,1
KL3,2
KL4,2
KL5,1
KL0,2
KL1,0
KL2,0
KL3,2
KL4,2
KL5,1
KL0,0
KL1,1
KL2,1
KL3,1
KL4,0
KL5,1
KL0,2
KL1,2
KL2,1
KL3,2
KL4,0
KL5,0
KL0,0
KL1,2
KL2,1
KL3,0
KL4,1
KL5,0
KL0,1
KL1,1
KL2,2
KL3,2
KL4,0
KL5,0
KL0,1
KL1,1
KL2,2
KL3,0
KL4,1
KL5,2
KL0,0
KL1,1
KL2,1
KL3,2
KL4,2
KL5,0
KL0,2
KL1,1
KL2,1
KL3,2
KL4,2
KL5,2
KL0,2
KL1,2
KL2,1
KL3,0
KL4,2
KL5,0
KL0,2
KL1,1
KL2,0
KL3,2
KL4,1
KL5,2
KL6,2
KL0,1
KL1,0
KL2,0
KL3,1
KL4,2
KL5,1
KL6,2
KL0,2
KL1,2
KL2,2
KL3,2
KL4,0
KL5,0
KL6,1
KL0,1
KL1,2
KL2,2
KL3,1
KL4,0
KL5,1
KL6,0
KL0,2
KL1,0
KL2,2
KL3,2
KL4,2
KL5,1
KL6,2
